,file_name,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
0,s1_11.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,248.341,29.896,-4.927,24.068,0.69,0.049
1,s1_15.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,249.327,25.39,-5.16,27.287,0.784,0.044
2,s1_16.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,250.552,23.432,-5.944,36.294,0.614,0.035
3,s1_2.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,244.541,34.847,-3.713,13.231,1.258,0.08
4,s1_31.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,244.631,35.169,-3.679,12.746,1.163,0.066
5,s1_34.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,251.681,20.467,-6.998,50.786,0.47,0.027
6,s1_35.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,248.033,32.904,-4.937,23.37,0.613,0.029
7,s1_47.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,250.479,20.613,-6.032,40.427,0.94,0.06
8,s1_48.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,251.952,16.522,-7.67,67.068,0.837,0.039
9,s1_50.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,250.684,24.818,-6.463,42.582,0.533,0.017
10,s1_51.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,250.399,24.021,-5.871,35.168,0.571,0.032
11,s1_52.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,240.431,31.184,-2.022,3.655,1.304,0.012
12,s1_53.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,249.942,25.661,-5.612,32.238,0.569,0.022
13,s1_55.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,247.449,24.828,-4.331,22.098,1.15,0.031
14,s1_56.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,245.042,32.082,-4.249,18.749,1.301,0.043
15,s1_57.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,250.377,24.912,-5.886,34.597,0.551,0.027
16,s1_58.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,251.729,19.978,-6.915,49.357,0.471,0.025
17,s1_59.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,246.748,33.311,-4.33,18.202,0.838,0.037
18,s1_60.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,251.486,22.54,-6.967,48.847,0.405,0.019
19,s1_62.tif,Official/Canon120-1/150,1240,1752,0.708,6366.8,249.402,28.234,-5.373,28.461,0.534,0.027
